ID,Language_ID,Headword,Part_Of_Speech,1st_Person_SG,3rd_Person_SG,Contains,Entry_IDs,Etymology,Heterosemes,Lovono_Equivalent,Main_Entry,Morphology,Orthographic_Variant,Paradigm_Form,Phonetic_Form,Reduplication_Form,Tanema_Equivalent,Variant_Form
LX000060,tkw,~bei,"verb, transitive",,,,,,,~beli,,,,,(i·)ᵐbei,,~bei,
LX000061,tkw,~bei bete,verb-object idiom,,,,,,,~beli bele,,,,,(i·)ᵐbei ᵐbete,,~bei be,
LX000062,tkw,~beiu,"verb, intransitive",,,,,,,,,Cf. [beiuko](beiuko_1) ‘solid’,,,(i·)ᵐbeju,,,
beiuko_1,tkw,beiuko,adjective,,,,,,beiuko_2,beluka,,Cf. [~beiu](LX000062) ‘solidify’,,,ᵐbejuko,,bwauka,
beiuko_2,tkw,beiuko,postverb,,,,,,beiuko_1,beluka,,,,,ᵐbejuko,,bwauka,
bele_1,tkw,bele,"noun, relational",,,,LX000488 ; bele_vilo_1,,,mele,,,,,ᵐbele,,wele,
bele_mwa_1,tkw,bele mwa,"noun, relational",,,,,,,,,,,,ᵐbele mʷa,,,
bele_vilo_1,tkw,bele vilo,noun,,,,,,,,,,,,ᵐbele filo,,,
bele_voro_1,tkw,bele voro,noun,,,,,,,,,,,,ᵐbele foro,,,
belebale_1,tkw,belebale,noun,,,,iebe_1 ; bokoe_1,,,,,,,,ᵐbeleᵐbale,,nara,
belemele_1,tkw,belemele,noun,,,,,,,,,,,,ᵐbelemele,,,
bemata_1,tkw,bemata,noun,,,,Mata_Teva_1 ; Mata_Tilu_1,,,,,(?) + [mata](mata_1) ‘eyes’,,,ᵐbemata,,,
beme_1,tkw,beme,adjective,,,,,,,beme,,,,,ᵐbeme,,beme,
beniawo_1,tkw,beniawo,noun,,,,viomoro_1 ; iawo_1,,,,,Cf. [iawo](iawo_1) ‘fire’,,,ᵐbeniawo,,,
benoe_1,tkw,benoe,noun,,,,,,,,,,,,ᵐbenoe,,,
benuro_1,tkw,benuro,noun,,,,,,,,,,,,ᵐbenuro,,,
Besungale_1,tkw,Besungale,proper noun,,,,,,,,,,,,ᵐbesuŋale,,,
bete_1,tkw,bete,noun,,,,LX000236,,bete_2,bele,,,,,ᵐbete,,be,
bete_2,tkw,bete,"noun, relational",,,,,,bete_1,bele,,,,1s: bete ene ; 2s: bete eo,ᵐbete,,be,
LX000063,tkw,~betei,"verb, intransitive",,,,,,,,,,,,(i·)ᵐbetei,,,
beve_1,tkw,beve,adjective,,,,,,,mala,,,,,ᵐbeve,,petonga,
beveko_1,tkw,beveko,noun,,,,,,,,,,,,ᵐbeveko,,,
LX000064,tkw,~bi,"verb, transitive",,,,LX000064 ; LX000443 ; LX000008 ; LX000050 ; LX000538 ; LX000053,,,~bi,,,,,(i·)ᵐbi,,~bele,
LX000065,tkw,~bi,"verb, oblique transitive",,,,teili_1,,,,,,,,(i·)ᵐbi,,,
Bilbeure_1,tkw,Bilbeure,proper noun,,,,,,,,,,,,ᵐbilᵐbeure,,,
bile_1,tkw,bile,noun,,,,,,,,,,,,ᵐbile,,,
bilibiro_1,tkw,bilibiro,noun,,,,,POc: *ᵐbiRiᵐbiRi,,,,,,,ᵐbiliᵐbiro,,,bilbiro
biliko_1,tkw,biliko,noun,,,,,,,,,,,,ᵐbiliko,,,
bimole_1,tkw,bimole,noun,,,,,,,,,,,,ᵐbimole,,,
